Date, Open, High, Low, Close
01/19/22, 105.44, 105.44, 105.44, 105.44
01/18/22, 104.12, 104.12, 104.12, 104.12
01/14/22, 103.54, 103.54, 103.54, 103.54
01/13/22, 103.05, 103.05, 103.05, 103.05
01/12/22, 104.42, 104.42, 104.42, 104.42
01/11/22, 102.77, 102.77, 102.77, 102.77
01/10/22, 100.86, 100.86, 100.86, 100.86
01/07/22, 101.29, 101.29, 101.29, 101.29
01/06/22, 100.78, 100.78, 100.78, 100.78
01/05/22, 101.16, 101.16, 101.16, 101.16
01/04/22, 100.58, 100.58, 100.58, 100.58
01/03/22, 99.46, 99.46, 99.46, 99.46
